,,,players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2021,Arsenal,29,38,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,Aston Villa,24,38,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,Brighton,27,38,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,Burnley,25,38,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,Chelsea,27,38,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,Crystal Palace,24,38,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
ENG-Premier League,2021,Everton,29,38,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,Fulham,28,38,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13,/en/squads/fd962109/2020-2021/Fulham-Stats
ENG-Premier League,2021,Leeds United,23,38,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,Leicester City,27,38,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,Liverpool,28,38,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,Manchester City,24,38,498,271,198,212,88,234,576,40.6,342,310,82,228,319,817,453,11,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,Manchester Utd,29,38,551,311,252,239,60,231,572,40.4,341,418,116,302,386,937,634,20,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,Newcastle Utd,27,38,512,268,257,213,42,207,547,37.8,340,423,160,263,362,874,908,10,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,Sheffield Utd,27,38,634,356,325,239,70,294,720,40.8,426,442,152,290,351,985,839,19,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
ENG-Premier League,2021,Southampton,29,38,727,419,335,325,67,341,731,46.6,390,439,95,344,401,1128,681,10,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,Tottenham,24,38,636,361,313,244,79,277,683,40.6,406,434,147,287,342,978,795,15,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,West Brom,30,38,581,328,329,192,60,271,656,41.3,385,455,159,296,435,1016,876,13,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
ENG-Premier League,2021,West Ham,24,38,514,280,269,195,50,224,573,39.1,349,405,124,281,437,951,779,11,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
ENG-Premier League,2021,Wolves,27,38,588,335,322,220,46,277,611,45.3,334,359,117,242,432,1020,727,15,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
ENG-Premier League,2122,Arsenal,27,38,540,311,261,195,84,244,500,48.8,256,386,123,263,296,836,658,20,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
ENG-Premier League,2122,Aston Villa,31,38,634,382,300,259,75,300,649,46.2,349,453,140,313,339,973,693,13,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
ENG-Premier League,2122,Brentford,29,38,607,342,299,228,80,291,616,47.2,325,383,113,270,393,1000,863,7,/en/squads/cd051869/2021-2022/Brentford-Stats
ENG-Premier League,2122,Brighton,26,38,668,403,306,257,105,243,563,43.2,320,480,150,330,358,1026,723,12,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2122,Burnley,23,38,590,324,273,235,82,250,534,46.8,284,509,211,298,410,1000,887,18,/en/squads/943e8050/2021-2022/Burnley-Stats
ENG-Premier League,2122,Chelsea,26,38,621,348,267,269,85,257,567,45.3,310,408,96,312,347,968,641,15,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
ENG-Premier League,2122,Crystal Palace,24,38,637,374,323,236,78,273,575,47.5,302,452,135,317,333,970,761,5,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
ENG-Premier League,2122,Everton,33,38,705,402,369,252,84,336,735,45.7,399,496,140,356,365,1070,815,15,/en/squads/d3fd31cc/2021-2022/Everton-Stats
ENG-Premier League,2122,Leeds United,29,38,787,437,396,298,93,408,886,46.0,478,473,143,330,395,1182,621,15,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
ENG-Premier League,2122,Leicester City,28,38,690,384,336,270,84,306,720,42.5,414,469,146,323,367,1057,777,15,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
ENG-Premier League,2122,Liverpool,27,38,554,320,207,240,107,233,576,40.5,343,359,74,285,340,894,523,8,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
ENG-Premier League,2122,Manchester City,26,38,498,284,183,214,101,227,509,44.6,282,267,55,212,279,777,403,7,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
ENG-Premier League,2122,Manchester Utd,29,38,585,358,320,197,68,265,608,43.6,343,404,133,271,340,925,704,20,/en/squads/19538871/2021-2022/Manchester-United-Stats
ENG-Premier League,2122,Newcastle Utd,29,38,659,383,334,266,59,304,641,47.4,337,420,162,258,360,1019,776,14,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
ENG-Premier League,2122,Norwich City,28,38,614,368,322,242,50,297,714,41.6,417,450,180,270,381,995,860,14,/en/squads/1c781004/2021-2022/Norwich-City-Stats
ENG-Premier League,2122,Southampton,25,38,602,340,285,243,74,248,581,42.7,333,430,132,298,446,1048,795,13,/en/squads/33c895d4/2021-2022/Southampton-Stats
ENG-Premier League,2122,Tottenham,25,38,598,349,286,244,68,262,584,44.9,322,470,161,309,355,953,793,15,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
ENG-Premier League,2122,Watford,30,38,614,356,341,213,60,278,626,44.4,348,440,148,292,444,1058,899,19,/en/squads/2abfe087/2021-2022/Watford-Stats
ENG-Premier League,2122,West Ham,25,38,534,301,273,199,62,240,557,43.1,317,420,175,245,374,908,781,5,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
ENG-Premier League,2122,Wolves,26,38,673,377,377,242,54,273,671,40.7,398,437,135,302,389,1062,820,20,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,Arsenal,26,38,568,343,238,212,118,249,510,48.8,261,362,86,276,237,805,599,23,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,Aston Villa,26,38,632,338,305,251,76,312,648,48.1,336,438,118,320,324,956,714,14,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,Bournemouth,31,38,618,371,316,249,53,256,614,41.7,358,499,170,329,353,971,1027,11,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,Brentford,25,38,588,338,271,228,89,253,597,42.4,344,456,168,288,341,929,822,14,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,Brighton,29,38,616,340,270,242,104,266,561,47.4,295,392,104,288,303,919,432,15,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,Chelsea,32,38,740,445,363,267,110,333,656,50.8,323,466,108,358,341,1081,661,21,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,Crystal Palace,26,38,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,7,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,Everton,28,38,708,424,362,257,89,309,619,49.9,310,510,180,330,390,1098,874,17,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,Fulham,29,38,625,350,295,229,101,299,588,50.9,289,455,125,330,340,965,749,15,/en/squads/fd962109/2022-2023/Fulham-Stats
ENG-Premier League,2223,Leeds United,29,38,840,480,376,343,121,412,870,47.4,458,536,131,405,392,1232,734,18,/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
ENG-Premier League,2223,Leicester City,28,38,699,412,345,291,63,308,677,45.5,369,517,170,347,367,1066,777,12,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,Liverpool,28,38,590,370,228,250,112,281,651,43.2,370,350,74,276,333,923,568,20,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,Manchester City,24,38,471,272,185,198,88,212,462,45.9,250,339,95,244,223,694,402,9,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,Manchester Utd,26,38,657,400,343,231,83,300,600,50.0,300,496,146,350,352,1009,771,11,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,Newcastle Utd,27,38,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,Nott'ham Forest,33,38,659,387,380,201,78,296,589,50.3,293,500,156,344,349,1008,944,7,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,Southampton,36,38,714,426,378,279,57,297,612,48.5,315,542,165,377,427,1141,852,11,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,Tottenham,29,38,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,20,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,West Ham,25,38,608,336,290,226,92,270,563,48.0,293,415,139,276,408,1016,810,10,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,Wolves,32,38,660,370,363,222,75,285,616,46.3,331,497,175,322,279,939,817,19,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
ENG-Premier League,2324,Arsenal,25,38,610,348,257,246,107,271,543,49.9,272,412,106,306,292,902,515,18,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,Aston Villa,31,38,547,311,269,210,68,260,550,47.3,290,389,113,276,236,783,597,13,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,Bournemouth,30,38,693,410,301,281,111,325,688,47.2,363,504,153,351,357,1050,817,16,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,Brentford,28,38,677,399,349,250,78,317,697,45.5,380,474,142,332,378,1055,903,18,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,Brighton,30,38,644,366,292,252,100,307,658,46.7,351,437,140,297,288,932,603,21,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,Burnley,31,38,607,342,282,247,78,284,584,48.6,300,477,169,308,280,887,837,22,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,Chelsea,32,38,663,376,325,235,103,323,630,51.3,307,448,166,282,298,961,785,24,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,Crystal Palace,26,38,788,464,373,301,114,337,609,55.3,272,456,122,334,323,1111,927,6,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,Everton,26,38,743,442,371,261,111,347,701,49.5,354,479,177,302,358,1101,882,12,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,Fulham,25,38,679,384,339,260,80,346,678,51.0,332,437,117,320,371,1050,744,14,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,Liverpool,30,38,677,418,274,290,113,341,768,44.4,427,475,108,367,292,969,583,19,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,Luton Town,28,38,654,368,330,236,88,299,616,48.5,317,493,183,310,325,979,916,21,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,Manchester City,25,38,517,305,183,221,113,222,458,48.5,236,353,75,278,233,750,457,17,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,Manchester Utd,31,38,676,409,334,240,102,349,715,48.8,366,534,207,327,313,989,884,12,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,Newcastle Utd,32,38,661,391,316,254,91,302,681,44.3,379,497,151,346,285,946,682,16,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,Nott'ham Forest,33,38,728,430,437,219,72,326,609,53.5,283,489,168,321,331,1059,968,13,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,Sheffield Utd,35,38,709,405,375,248,86,299,635,47.1,336,514,180,334,348,1057,1042,18,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,Tottenham,29,38,724,451,335,264,125,360,691,52.1,331,445,132,313,355,1079,707,24,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,West Ham,26,38,684,426,350,254,80,307,607,50.6,300,487,180,307,361,1045,906,9,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,Wolves,27,38,739,430,415,247,77,312,607,51.4,295,506,173,333,284,1023,828,16,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
ENG-Premier League,2425,Arsenal,25,38,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33,/en/squads/18bb7c10/2024-2025/Arsenal-Stats
ENG-Premier League,2425,Aston Villa,28,38,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43,/en/squads/8602292d/2024-2025/Aston-Villa-Stats
ENG-Premier League,2425,Bournemouth,29,38,691,399,290,299,102,301,627,48.0,326,459,136,323,351,1042,1013,22,/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
ENG-Premier League,2425,Brentford,28,38,633,380,289,223,121,314,596,52.7,282,480,199,281,285,918,1040,28,/en/squads/cd051869/2024-2025/Brentford-Stats
ENG-Premier League,2425,Brighton,32,38,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29,/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,Chelsea,29,38,588,371,243,244,101,273,536,50.9,263,356,103,253,272,860,695,45,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
ENG-Premier League,2425,Crystal Palace,29,38,767,450,374,300,93,324,643,50.4,319,485,144,341,334,1101,1088,19,/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
ENG-Premier League,2425,Everton,26,38,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25,/en/squads/d3fd31cc/2024-2025/Everton-Stats
ENG-Premier League,2425,Fulham,26,38,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33,/en/squads/fd962109/2024-2025/Fulham-Stats
ENG-Premier League,2425,Ipswich Town,32,38,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39,/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
ENG-Premier League,2425,Leicester City,32,38,728,431,361,278,89,336,695,48.3,359,505,198,307,327,1055,987,31,/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
ENG-Premier League,2425,Liverpool,24,38,642,391,271,267,104,340,656,51.8,316,367,97,270,299,941,724,31,/en/squads/822bd0ba/2024-2025/Liverpool-Stats
ENG-Premier League,2425,Manchester City,30,38,497,299,183,216,98,214,449,47.7,235,331,89,242,229,726,619,35,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
